record_id,year,scientist,principle_or_equation,bernoulli_derivation_snippet,hull_friction_coefficient,canal_name,canal_flow_rate_cfs,archaic_resistance_equation,measurement_notes
HYD-1870,1870,William Froude,Towing tank frictional extrapolation,Cf_flatplate=0.075/(log₁₀Re-2)² family; form factor (1+k) separation,Cf≈0.0024,Admiralty Haslar tank HMS Serpent model,1:48 scale,R=R_f(1+k)+R_r,Residual resistance curve slope at Fn=0.18
HYD-1875,1875,Boussinesq,Open-channel long-wave theory,∂²η/∂t²=c²∂²η/∂x²; c=√(gh) for rectangular canal; dispersive correction O(h³),N/A,Suez Canal prototype section,892.0,η_tt=c²η_xx,Tidal bore arrival ±4min vs prediction; h_mean=8.2m
HYD-1880,1880,Lord Kelvin,Helmholtz circulation theorem,DΓ/Dt=0 for inviscid barotropic flow; applied to ship wake vortex sheets,Cf≈0.0021,Clyde ironclad trials,1560.0,Circulation Γ=∮v·dl,Surface eddy shedding period T=4.8s at V=12kn
HYD-1885,1885,Reynolds-Averaged precursor,Turbulent skin friction line fit,Cf=0.074/Re^0.2 flat plate turbulent regime empirical,Cf≈0.0019,Thames iron screw collier,1340.0,τ=½ρV²Cf,Cf from drag balance; V=11.3kn L=86m
HYD-1890,1890,Barré de Saint-Venant,Kinematic wave canal routing,Q=αA^β; Muskingum storage S=K[xI+(1-x)O],N/A,Panama Canal cut model,124.5,Q=K(S₂-S₁)/Δt+½(Q₁+Q₂),Flood routing 6-hour storm; peak attenuation 18%
HYD-1892,1892,Thomson & Tait,Treatise on Natural Philosophy hydraulics,Bernoulli head H=p/ρg+V²/2g+z; Torricelli efflux V=√(2gh) orifice discharge,Cf≈0.0020,Forth & Clyde Canal lock culvert,203.7,Q=C_d A√(2gΔh),C_d=0.612 sharp-edged orifice; Δh=1.85m
HYD-1895,1895,Lamb,Hydrodynamics 1st ed. potential flow,∇²φ=0; Bernoulli unsteady ∂φ/∂t+V²/2+gη+p/ρ=const; ship wave pattern Kelvin angle 19.47°,Cf≈0.0017,Admiralty 12-knot cruiser lines,1890.0,R_wave ∝ Fn⁴ at high Fn,Wake half-angle 19.5° measured photographically
HYD-1898,1898,Prandtl boundary-layer precursor (experimental),Displacement thickness δ*; momentum deficit θ; Cf=τ_w/(½ρV²),Cf≈0.0016,Elbe River barge tow,980.0,δ≈5.0/√Re_x,δ=2.1mm at x=4m from bow; V=3.2m/s
HYD-1899,1899,International naval tank consensus,Iron-clad frictional resistance standard,Cf=0.0025 adopted for clean hull varnish; barnacle penalty +40%,Cf=0.0025,Portsmouth Channel trials HMS Caesar,2100.0,R=½ρV²S·Cf(1+k),Tow rope dynamometer 12 runs; spread ±3.2%
HYD-1900,1900,Rayleigh,Dimensional analysis π theorem,Buckingham precursor: Fr and Re govern resistance similarity; wave resistance ∝ ρgL³f(Fr),Cf≈0.0023,Suez Canal final section acceptance,1050.0,Π theorem 5 variables → 2 dimensionless groups,Full-scale acceptance discharge 1050 cfs at 8.2m draft
