profile_id,polymer,process,nozzle_temp_c,bed_temp_c,layer_height_mm,print_speed_mms,infill_pct,infill_pattern,wall_count,retraction_mm,retraction_speed_mms,fan_speed_pct,gcode_tokens,thermal_gradient_c_mm,crystallinity_pct,tensile_strength_mpa,flexural_modulus_gpa,description
ADD-011,Continuous_CF_Markforged,CFF,260,60,0.125,20,100,concentric,2,N/A,N/A,50,"M104 S260 ; matrix\nM109 S260 ; fiber\nG1 Z0.125 ; fiber layer\nG1 Z0.125 ; matrix layer",6.0,N/A,800,70.0,Continuous carbon fiber FFF; alternating fiber/matrix layers; concentric fiber routing follows load paths; 800 MPa tensile (aluminum-class); fiber volume fraction ~40%
ADD-012,SLA_Resin_Standard,SLA,N/A,25,0.05,N/A,100,N/A,N/A,N/A,N/A,N/A,"layer_time=8s UV_power=100mW wavelength=405nm\nz_lift=5mm lift_speed=2mm/s\nretract_speed=3mm/s",N/A,75,65,2.8,SLA standard photopolymer; 405nm UV laser; 8s exposure per 0.05mm layer; support structures auto-generated; wash IPA 10min then post-cure UV 2h
ADD-013,SLA_Resin_Engineering,SLA,N/A,30,0.05,N/A,100,N/A,N/A,N/A,N/A,N/A,"layer_time=12s UV_power=100mW\npost_cure_temp=60C UV_time=30min",N/A,80,86,2.9,SLA engineering resin; high-temp variant Tg=120°C; post-cure at 60°C 30min for full crosslink; Izod impact 35 J/m; used for functional prototypes
ADD-014,SLS_Nylon_PA11,SLS,N/A,N/A,0.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"laser_power=50W scan_speed=5000mm/s hatch_spacing=0.15mm\nbuild_temp=175C powder_refresh=50%",N/A,30,48,1.6,SLS PA11 bio-based; no support structures; 50W CO2 laser; 175°C build chamber near Tm; powder refresh 50% recycled; isotropic mechanical properties; 5000mm/s scan speed
ADD-015,SLS_PA12_Glass_Filled,SLS,N/A,N/A,0.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"laser_power=55W scan_speed=4500mm/s hatch=0.15mm\nGF_content=30% build_temp=172C",N/A,35,68,3.5,SLS PA12+30%GF; enhanced stiffness 3.5GPa; reduced creep; 55W laser power for glass-filled density; build temp 172°C; surface roughness Ra=10μm
ADD-016,DMLS_Ti6Al4V,DMLS,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"laser_power=200W scan_speed=1200mm/s hatch=0.10mm\nlayer=0.03mm argon_atmosphere <10ppm O2\nstress_relief=800C_2h",N/A,N/A,1100,114.0,DMLS titanium alloy; 200W fiber laser; argon atmosphere <10ppm O2; 0.03mm layer for detail; stress relief anneal 800°C 2h post-build; tensile 1100MPa after HIP; aerospace structural
ADD-017,DMLS_316L_Steel,DMLS,N/A,N/A,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"laser_power=175W scan_speed=900mm/s hatch=0.11mm\nlayer=0.04mm nitrogen_atmosphere\nanneal=1050C_1h_quench",N/A,N/A,570,193.0,DMLS 316L stainless steel; nitrogen atmosphere; 175W laser; anneal 1050°C/1h/water quench for full austenite; corrosion-resistant; medical device / chemical equipment grade
ADD-018,Binder_Jetting_Stainless,BJT,N/A,N/A,0.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"binder_saturation=60% printhead_dpi=1200\ncure=190C_6h sinter=1280C_3h vacuum\nshrinkage_factor=1.20 bronze_infiltrate=optional",N/A,N/A,480,190.0,Binder jetting 17-4PH; 1200 DPI inkjet; cure green part 190°C; vacuum sinter 1280°C; 20% linear shrinkage compensation required; optional bronze infiltration for density
ADD-019,Wire_Arc_AM_ER70S,WAAM,N/A,N/A,1.0,250,N/A,N/A,N/A,N/A,N/A,N/A,"wire_feed=5m/min current=180A voltage=21V\ntorch_speed=250mm/min gas=Ar+CO2_20%\ninterpass_temp=150C dwell=60s",N/A,N/A,540,200.0,Wire-arc AM mild steel; 180A GMAW process; 1.0mm layer; argon-CO2 shielding gas; interpass temperature control 150°C; 60s dwell per layer; near-net-shape large structural parts
ADD-020,Polyjet_Vero_Rigid,Polyjet,N/A,30,0.016,N/A,100,N/A,N/A,N/A,N/A,N/A,"UV_array_pass UV_cure_inline\njetting_freq=33kHz droplet_vol=30pL\nresolution=600x300x900dpi layer=0.016mm",N/A,85,60,2.5,PolyJet RGD720; 0.016mm layer; 600x300 DPI; inline UV cure; wax support soluble in alkaline solution; Shore 85D hardness; transparent grade available
ADD-021,CLIP_Resin_Fast,CLIP,N/A,25,0.001,N/A,100,N/A,N/A,N/A,N/A,N/A,"O2_inhibition_zone=20-30um\nUV_irradiance=50mW/cm2 wavelength=365nm\nprint_speed=500mm/h z_velocity=continuous",N/A,80,58,2.1,Carbon CLIP process; continuous liquid interface production; oxygen dead zone eliminates layer delamination; 500mm/h build speed; isotropic properties; no support layer adhesion artifacts
ADD-022,FDM_Slicing_Adaptive,FDM,215,60,0.10_to_0.30,50,20,adaptive,3,6.5,45,100,"adaptive_layer_height enabled\nangle_threshold=45deg fine_detail=0.10mm\nflat_surface=0.30mm transition_zones=smooth",8.5,85,65,3.5,Adaptive layer height slicing; 0.10mm on curved/detailed surfaces; 0.30mm on flat regions; 33% time reduction vs uniform 0.10mm; smooth transition between layer zones
ADD-023,FDM_Variable_Infill,FDM,215,60,0.20,50,adaptive,gyroid_to_solid,4,6.5,45,100,"infill_gradients: base=15% mid=40% high_stress=100%\nstress_map_input=FEA_result.csv\ninfill_regions=stress_weighted",8.5,85,variable,variable,Topology-optimized infill; FEA stress map drives infill density; low-stress regions 15% gyroid; high-stress zones 100% solid; 35% material reduction vs uniform solid
ADD-024,Multi_Material_AMS,FDM,215_235,60_80,0.20,45,20,grid,3,8.0,45,80,"T0S215 ; PLA material 1\nT1S235 ; PETG material 2\nM600 ; filament change\nG1 E-8.0 ; purge retract\nG11 ; un-retract",8.0,variable,variable,variable,Multi-material AMS system; 4-material capable; purge tower 25cc per change; PLA+PETG combination for rigid/flexible joints; T0/T1 tool change commands; tip shaping sequence
ADD-025,Electroforming_Post_AM,Hybrid,N/A,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"base_print=SLA electroform_bath=NiSulfamate\ncurrent_density=20mA/cm2 thickness_target=0.3mm\ntime=18h temp=50C pH=3.8",N/A,N/A,600,200.0,Hybrid AM+electroforming; SLA mandrel coated in conductive silver; nickel electrodeposition 0.3mm shell; 20mA/cm² current density; dissolve polymer mandrel in NaOH; metal shell 600MPa tensile
ADD-026,Post_Process_Annealing_PLA,FDM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"anneal_protocol: ramp_15C/h to_65C\nhold=4h cool_rate=5C/h to_25C\ndimensional_drift: +0.3% XY -0.5% Z",N/A,85_to_97,78,3.9,PLA post-print anneal; controlled ramp to 65°C (below Tg 60°C); 4h soak increases crystallinity 85→97%; tensile strength +20%; Tg increases to 80°C; controlled cooling prevents warp
ADD-027,Post_Process_HIP_Ti,DMLS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"HIP_cycle: 920C 1000bar_Ar 2h\npore_closure_rate=99.9%\nresidual_stress_relief=85%\nfatigue_improvement=50_to_200%",N/A,N/A,1200,114.0,Hot isostatic pressing post-DMLS; eliminates 99.9% of internal porosity; 920°C/1000bar argon; fatigue life improvement 50-200%; critical for flight-certified titanium components
ADD-028,Support_Strategy_Tree,FDM,215,60,0.20,30,15,tree_support,N/A,6.5,45,100,"tree_support_algorithm: branch_angle=30deg\nmin_wall_dist=0.5mm tip_diameter=0.4mm\ncontact_z_distance=0.15mm interface_layers=2",8.5,85,65,3.5,Tree support algorithm; organic branching minimizes contact area; 0.15mm z-gap for easy removal; 15% infill density; 30° branch angle limit; 60% less support material vs grid
ADD-029,Calibration_Flow_Rate,FDM,215,60,0.20,50,100,solid,999,6.5,45,100,"calibration_cube 20x20x20mm\nmeasure_XY_wall expected=0.40mm\nflow_rate_adj=(expected/measured)*current_flow\niterate=3x",8.5,85,65,3.5,Extrusion flow calibration protocol; single-wall calibration cube; target 0.40mm wall width; flow multiplier adjustment; repeat 3x until <0.5% deviation; prevents over/under extrusion artifacts
ADD-030,Bed_Leveling_Mesh,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"G29 ; auto bed leveling\nbilinear_mesh 5x5\nprobe_accuracy=±0.005mm\ncompensation_applied=real_time Z_offset",8.5,85,65,3.5,Bilinear mesh bed leveling; 5x5 probe grid; ±0.005mm probe repeatability; real-time Z-height compensation applied during print; corrects for non-planar build surfaces up to ±0.5mm deviation
ADD-031,Vase_Mode_Spiralize,FDM,215,60,0.20,80,0,none,1,6.5,45,100,"vase_mode=spiralize_outer_contour\nlayer_transition=continuous_Z_increment\nwall_thickness=nozzle_diameter=0.4mm\nmax_overhang=45deg",8.5,85,40,3.5,Spiralize/vase mode; single continuous extrusion path; no layer seams; Z increments continuously; wall thickness = 1 nozzle width (0.4mm); watertight single-wall vessels; max overhang 45° without support
ADD-032,Ironing_Top_Surface,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"ironing_enabled=top_surface_only\nironing_speed=15mm/s flow_rate=10%\nironing_line_spacing=0.1mm pattern=zigzag\nresult_Ra<1um",8.5,85,65,3.5,Surface ironing post-pass; nozzle re-traces top layer at 15mm/s with 10% flow; 0.1mm spacing; Ra<1μm achievable; equivalent to light sanding; adds ~5% print time on top surfaces
ADD-033,Scarf_Joint_Seam,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"scarf_seam_algorithm: blend_length=3mm\nangle_ramp=45deg to_flat\nseam_position=least_visible_point\nretract_at_seam=yes",8.5,85,65,3.5,Scarf joint seam; gradual Z-transition at layer seam point; eliminates visible blob artifact; 3mm blend length; seam placed at least-visible geometry location; combines with retraction for clean start
ADD-034,Thermal_Runaway_Protection,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"thermal_runaway_config:\nheating_guard: target±2C within 20s\nrunaway_threshold: >10C deviation for >60s\naction: STOP + M112 emergency_stop\npid_autotune: Kp=28.4 Ki=1.62 Kd=124.5",8.5,85,65,3.5,Thermal runaway detection; PID autotune Kp/Ki/Kd constants; ±2°C steady-state band; >10°C deviation for 60s triggers emergency stop M112; heater cartridge failure detection; required for UL/CE certification
ADD-035,Pressure_Advance_LA,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"pressure_advance=0.045 ; Klipper LA\nadvance_factor: accel_comp=E_advance_per_mm/s\ncalibration_pattern: speed_tower 20_to_100mm/s\nresult: sharp_corners no_bulge_no_gap",8.5,85,65,3.5,Pressure advance (Linear Advance); compensates nozzle pressure lag; PA=0.045 for direct drive PLA; calibrated via speed tower; eliminates corner bulge and acceleration gaps; enabled in Klipper/Marlin firmware
ADD-036,Multi_Color_Purge_Tower,FDM,215,235,60_80,0.20,50,20,solid,999,8.0,45,100,"purge_volume_per_change=40cc\npurge_tower_width=25mm\nprime_lines_before_print=2\ncolor_separation=visual_ok_at_3_layers",8.0,variable,65,3.5,Multi-color purge tower; 40cc purge volume per filament change; 25mm wide tower; 2 prime lines; effective color separation within 3 layers; tower mass ~15% of total print mass for 4-color jobs
ADD-037,FDM_Post_Smoothing_Acetone,ABS,245,110,0.20,60,20,grid,3,5.0,50,0,"acetone_vapor_chamber: 100mL acetone\nvapor_time=10_to_30min temperature_ambient\nresult_Ra: 0.2um vs original 5-15um\nwarning: flammable_process_outdoor_only",12.0,55,42,2.0,Acetone vapor smoothing for ABS; 100mL acetone in sealed container; 10-30min exposure melts surface 5-15μm; Ra improves 5-15μm → 0.2μm; slight dimensional change ~0.1mm; hazardous — outdoor/ventilated use only
ADD-038,Embedded_Component_Pause,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"M600 at_layer=12 ; pause for insert\nM117 Insert_component\nM0 ; wait for user\nresume: M600_resume\ncomponent: M3_brass_heat_insert_OD=4.5mm",8.5,85,65,3.5,Embedded component insertion; M600 pause at layer 12; M3 brass heat-set inserts OD=4.5mm pressed into 4.2mm hole; resume print encapsulates insert; torque retention 2.5x vs plastic threads; pre-planned cavity in model required
ADD-039,FDM_Overhang_Optimization,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"overhang_analysis: critical_angle>45deg\nbridging_enabled: max_span=60mm speed=25mm/s\nfan_bridge=100% temp_reduce_5C\nresult: no_support_to_55deg_overhang",8.5,85,65,3.5,Overhang optimization; bridging mode for horizontal spans to 60mm; reduced speed 25mm/s + 100% fan during bridge; temperature -5°C for faster solidification; achieves 55° overhang without support structures
ADD-040,Dimensional_Compensation_XY,FDM,215,60,0.20,50,20,grid,3,6.5,45,100,"xy_compensation=-0.1mm ; shrinkage\nhole_compensation=+0.2mm ; for fits\nelephant_foot_comp=first_layer_squish\ncalibration_model=tolerance_test_h7h8_fits",8.5,85,65,3.5,Dimensional compensation for FDM tolerances; -0.1mm XY shrinkage offset for outer contours; +0.2mm hole compensation for H7/H8 fit tolerances; elephant foot first-layer compensation; achieves ±0.1mm dimensional accuracy after calibration
